trip,site,sample_type,sample,dt_sampled,fillStage_cm,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m
16,West-Jordan,Grab,Grab,2019-10-12T22:00:00Z,NA,1.359,0.08533333333333333,5.099,3.965,9.671000000000001,0.19466666666666668
17,Lab,QA-QC,Cal-ver3_,NA,NA,0,1.272,5.635,5.395,13.158,0.105
17,West-Leech,Grab,Grab,2019-10-24T18:25:00Z,32,0,0.092,7.541,6.293,15.349,0.259
17,West-Leech,Grab,Grab,2019-11-23T16:45:00Z,38,0,0.108,8.087,6.85,16.708,0.299
17,West-Leech,Rack,L1,NA,23,0,0.238,9.715,8.048,19.628,0.356
17,West-Leech,Rack,L2,NA,36,0.297,0.807,17.253,14.162,34.541,0.561
17,West-Leech,Rack,L3,NA,53,0.711,0.768,16.89,13.733,33.494,0.535
17,West-Leech,Rack,L4,NA,71,0.903,0.431,12.157,9.744,23.766,0.393
17,Tunnel,Grab,Grab,2019-10-24T19:11:00Z,34,0,0.168,8.627,7.283,17.762,0.332
17,Tunnel,Rack,L1,NA,0,0,0.109,7.577,6.219,15.169,0.291
17,Tunnel,Rack,L2,NA,6,0,0.181,8.652,7.06,17.219,0.339
17,Tunnel,Rack,L3,NA,19,0,0.567,13.351,11.04,26.926,0.457
17,Tunnel,Rack,L4,NA,39,0,0.607,13.618,11.272,27.492,0.465
17,Tunnel,Rack,L5,NA,56,3.023,0.749,14.997,11.919,29.072,0.459
17,Tunnel,Rack,L6,NA,71,0,0.371,10.766,8.783,21.421,0.365
17,Tunnel,QA-QC,HoldTime-A6,2019-10-12T18:30:00Z,NA,NA,NA,NA,NA,NA,NA
17,Tunnel,QA-QC,HoldTime-A6,2019-11-23T18:12:00Z,NA,0,0.115,7.015,5.982,14.59,0.266
17,Tunnel,QA-QC,HoldTime-B1,2019-10-12T08:00:00Z,NA,0,0.222,9.35,7.806,19.04,0.333
17,Tunnel,QA-QC,HoldTime-B2,2019-10-12T08:00:00Z,NA,0,0.214,9.282,7.873,19.203,0.358
17,Tunnel,QA-QC,HoldTime-B3,2019-10-12T08:00:00Z,NA,0,0.206,9.302,7.838,19.117,0.337
17,Tunnel,QA-QC,HoldTime-B4,2019-10-12T08:00:00Z,NA,0,0.202,9.403,7.877,19.213,0.343
17,Tunnel,QA-QC,HoldTime-B5,2019-10-12T08:00:00Z,NA,0,0.201,9.35,7.84,19.123,0.347
17,Tunnel,QA-QC,HoldTime-A7,2019-11-23T18:12:00Z,NA,0,0.11,6.894,5.922,14.444,0.267
17,Tunnel,QA-QC,HoldTime-A8,2019-11-23T18:12:00Z,NA,0,0.114,6.986,5.981,14.588,0.264
17,Tunnel,QA-QC,HoldTime-A9,2019-11-23T18:12:00Z,NA,0,0.111,6.964,5.968,14.556,0.272
17,Tunnel,QA-QC,HoldTime-A10,2019-11-23T18:12:00Z,NA,0,0.113,6.964,5.918,14.433,0.258
17,Cragg-crk,Grab,Grab,2019-10-23T19:25:00Z,52,0,0.165,8.684,7.426,18.112,0.318
17,Cragg-crk,Grab,Grab,2019-10-24T17:30:00Z,43,0,0.146,8.004,6.748,16.457,0.269
17,Cragg-crk,Rack,L1,NA,25,0,0.157,6.596,5.559,13.559,0.224
17,Cragg-crk,Rack,L2,NA,43,0,0.597,11.078,9.383,22.886,0.36
17,Cragg-crk,Rack,L3,NA,65,0,0.486,12.03,10.198,24.873,0.375
17,Leech-head,Grab,Grab,2019-10-23T20:35:00Z,137,0,0.607,14.281,11.575,28.232,0.47
17,Leech-head,Grab,Grab,2019-10-24T16:15:00Z,125,0,0.5,13.428,10.945,26.694,0.44
17,Leech-head,Rack,L1,NA,98,0,0.526,12.899,10.487,25.577,0.409
17,Leech-head,Rack,L2,NA,117,0.723,1.009,17.429,14.17,34.56,0.544
17,Leech-head,Rack,L3,NA,131,0.396,0.847,17.78,14.338,34.972,0.574
17,Weeks-out,Grab,Grab,2019-10-23T21:15:00Z,84,0,0.683,18.114,14.536,35.454,0.552
17,Weeks-out,Grab,Grab,2019-10-24T16:54:00Z,NA,0,0.824,17.53,14.115,34.426,0.548
17,Weeks-out,Rack,L1,NA,43,1.803,NaN,NaN,NaN,NaN,0.849
17,Weeks-out,Rack,L2,NA,58,1.365,NaN,NaN,NaN,NaN,0.863
17,Weeks-out,Rack,L3,NA,71,1.517,NaN,NaN,NaN,NaN,0.839
17,Chris-crk,Grab,Grab,2019-10-23T22:10:00Z,28,0,0,5.411,4.677,11.408,0.214
17,Chris-crk,Grab,Grab,2019-10-24T17:01:00Z,26,0,0,5.199,4.511,11.003,0.223
17,Chris-crk,Rack,L1,NA,28,0,0.435,10.522,8.81,21.487,0.351
17,Chris-crk,Rack,L2,NA,38,0,0.753,15.197,12.594,30.717,0.467
17,Jarvis,Grab,Grab,2019-10-23T18:00:00Z,NA,0,0.558,20.309,16.661,40.636,0.689
17,Lazar,Grab,Grab,2019-10-23T17:00:00Z,NA,0,0.315,10.462,8.884,21.669,0.369
17,Rithet,Grab,Grab,2019-10-23T16:00:00Z,NA,0,0.17,6.326,5.397,13.162,0.245
18,West-Leech,Grab,Grab,2019-11-13T18:10:00Z,20,0,0.205,7.816,6.535,15.94,0.309
18,Tunnel,Grab,Treatability,2019-11-12T19:30:00Z,0,0,0.014,5.2265,4.541,11.0755,0.2385
18,Tunnel,Grab,R1,2019-11-13T22:00:00Z,NA,0,0.033,6.008,5.027,12.262,0.253
18,Tunnel,Grab,R2,2019-11-13T22:00:00Z,NA,0,0.088,6.601,5.511,13.443,0.272
18,Tunnel,Grab,R3,2019-11-13T22:00:00Z,NA,0,0.069,6.536,5.528,13.484,0.276
18,Tunnel,Grab,R4,2019-11-13T22:00:00Z,NA,0,0.077,6.578,5.531,13.491,0.269
18,Tunnel,Grab,R5,2019-11-13T22:00:00Z,NA,0,0.086,6.56,5.505,13.427,0.262
18,Tunnel,QA-QC,HoldTime-B6,2019-10-23T08:00:00Z,NA,0,0.058,6.023,4.969,12.119,0.251
18,Tunnel,QA-QC,HoldTime-B7,2019-10-23T08:00:00Z,NA,0,0.223,9.216,7.706,18.795,0.303
18,Tunnel,QA-QC,HoldTime-B8,2019-10-23T08:00:00Z,NA,0,0.212,9.21,7.761,18.928,0.331
18,Tunnel,QA-QC,HoldTime-B9,2019-10-23T08:00:00Z,NA,0,0.218,9.319,7.877,19.211,0.343
18,Tunnel,QA-QC,HoldTime-B10,2019-10-23T08:00:00Z,NA,0,0.215,9.205,7.817,19.066,0.348
18,Tunnel,QA-QC,HoldTime-C1,2019-11-12T08:00:00Z,NA,0,0.218,9.225,7.736,18.869,0.332
18,Tunnel,QA-QC,HoldTime-C2,2019-11-12T08:00:00Z,NA,0,0.046,5.97,5.024,12.254,0.265
18,Tunnel,QA-QC,HoldTime-C3,2019-11-12T08:00:00Z,NA,0,0.023,5.983,5.017,12.238,0.265
18,Tunnel,QA-QC,HoldTime-C4,2019-11-12T08:00:00Z,NA,0,0.029,5.917,4.99,12.171,0.255
18,Tunnel,QA-QC,HoldTime-C5,2019-11-12T08:00:00Z,NA,0,0.049,5.884,4.956,12.087,0.259
18,Cragg-crk,Grab,Grab,2019-11-13T23:30:00Z,17,0,0.0105,4.7620000000000005,4.0975,9.993500000000001,0.20400000000000001
18,Cragg-crk,Grab,Grab,2019-11-14T21:00:00Z,NA,0,0,4.653,4.084,9.96,0.202
18,Cragg-crk,Grab,Algae,2019-11-13T08:00:00Z,NA,0,0.391,11.856,9.841,24.003,0.414
18,Leech-head,Grab,Grab,2019-11-14T17:00:00Z,99,0,0.405,11.889,9.828,23.972,0.403
18,Weeks-out,Grab,Grab,2019-11-14T18:00:00Z,43,0,0.751,18.829,15.2,37.073,0.601
18,Chris-crk,Grab,Grab,2019-11-14T18:30:00Z,21,0,0,4.53,3.913,9.543,0.201
18,Lazar,Grab,Grab,2019-11-14T19:00:00Z,NA,0,0.123,5.951,5.138,12.531,0.204
18,Rithet,Grab,Grab,2019-11-14T08:00:00Z,NA,0,0.07,4.542,3.939,9.607,0.211
18,Rithet,Grab,Treatability,2019-11-12T22:00:00Z,NA,0,0,4.0135000000000005,3.4139999999999997,8.327,0.20650000000000002
18,Deception-res,Grab,Treatability,2019-11-12T18:00:00Z,NA,0,0,4.479,3.7969999999999997,9.261,0.20500000000000002
18,Leech-downstreamconf,Grab,Grab,2019-11-13T18:20:00Z,NA,0,0.147,6.91,5.81,14.171,0.275
18,Survey-East,Grab,Grab,2019-11-14T19:30:00Z,NA,0,0,3.842,3.356,8.185,0.154
18,Judge-crk,Grab,Treatability,2019-11-12T23:00:00Z,NA,0,0.32925,10.076,8.441,20.587500000000002,0.3695
18,Deception-crk,Grab,Grab,2019-11-12T18:30:00Z,NA,0,0,3.593,3.156,7.698,0.195
19,West-Leech,Grab,Grab,2019-11-22T16:45:00Z,28,0,0.06,6.559,5.691,13.879,0.28
19,West-Leech,Rack,L1,NA,27,0,0.214,8.33,6.959,16.973,0.33
19,West-Leech,Rack,L2,NA,47,0,0.572,12.252,9.935,24.232,0.447
19,West-Leech,Rack,L3,NA,67,0,0.84,15.764,12.783,31.178,0.541
19,West-Leech,Rack,L4,NA,84,1.279,0.721,16.016,12.68,30.927,0.514
19,Tunnel,Grab,Grab,2019-11-22T18:00:00Z,23,0,0.136,7.503,6.382,15.565,0.286
19,Tunnel,Rack,L1,NA,19,0,0.505,11.777,9.723,23.716,0.411
19,Tunnel,Rack,L2,NA,35,0,0.372,9.951,8.104,19.766,0.379
19,Tunnel,Rack,L3,NA,54,0,0.518,11.766,9.573,23.348,0.441
19,Tunnel,Rack,L4,NA,70,0,0.669,13.811,11.165,27.232,0.482
19,Tunnel,Rack,L5,NA,86,2.353,0.673,14.465,11.447,27.92,0.482
19,Cragg-crk,Grab,Grab,2019-11-22T19:00:00Z,37,0,0.069,6.527,5.708,13.921,0.257
19,Cragg-crk,Rack,L1,NA,24,0,0.084,5.752,4.975,12.135,0.228
19,Cragg-crk,Rack,L2,NA,41,0,0.364,8.25,6.99,17.049,0.288
19,Cragg-crk,Rack,L3,NA,60,0,0.635,11.603,9.773,23.835,0.394
19,Leech-head,Grab,Grab,2019-11-22T19:50:00Z,115,0,0.411,12.515,10.331,25.197,0.427
19,Leech-head,Rack,L1,NA,105,0,0.524,13.799,11.194,27.303,0.458
19,Leech-head,Rack,L2,NA,117,0,0.711,14.425,11.904,29.034,0.489
19,Weeks-out,Grab,Grab,2019-11-22T20:30:00Z,NA,0,0.709,17.379,14.069,34.314,0.573
19,Weeks-out,Rack,L1,NA,49,0,0.791,19.438,15.792,38.516,0.641
19,Weeks-out,Rack,L2,NA,63,0,0.766,19.096,15.286,37.283,0.595
19,Weeks-out,Rack,L3,NA,79,0,0.77,20.276,16.324,39.816,0.642
19,Chris-crk,Grab,Grab,2019-11-22T21:00:00Z,25,0,0,4.403,3.87,9.439,0.187
19,Chris-crk,Rack,L1,NA,28,0,0.393,9.58,7.981,19.466,0.347
19,Chris-crk,Rack,L2,NA,37,0,0.577,11.714,9.632,23.493,0.389
19,Jarvis,Grab,Grab,2019-11-22T22:00:00Z,NA,0,0.775,17.302,14.257,34.773,0.585
19,Lazar,Grab,Grab,2019-11-22T21:30:00Z,NA,0,0.18,8.116,6.963,16.984,0.3
19,Rithet,Grab,Grab,2019-11-22T22:30:00Z,NA,0,0.022,4.225,3.704,9.035,0.179
20,West-Leech,Grab,Grab,2019-12-16T17:45:00Z,32,0,0.02,5.857,4.984,12.157,0.242
20,West-Leech,Rack,L1,NA,34,0,0.092,7.274,5.957,14.53,0.295
20,West-Leech,Rack,L2,NA,50,0,0.257,9.17,7.428,18.118,0.352
20,Tunnel,Grab,Grab,2019-12-13T18:25:00Z,NA,0,0.271,9.38,7.797,19.016,0.339
20,Tunnel,Grab,Grab,2019-12-13T22:45:00Z,NA,0,0.243,9.065,7.551,18.416,0.321
20,Tunnel,Grab,Grab,2019-12-16T19:00:00Z,36,0,0.103,7.059,5.911,14.418,0.275
20,Tunnel,Grab,Grab,2019-12-18T18:30:00Z,34,0,0.079,6.656,5.615,13.696,0.271
20,Tunnel,Rack,L1,NA,33,0,0.106,7.266,5.962,14.542,0.294
20,Tunnel,Rack,L2,NA,53,0,0.409,10.085,8.36,20.39,0.388
20,Tunnel,Rack,L3,NA,69,0,0.41,10.608,8.713,21.251,0.37
20,Tunnel,QA-QC,HoldTime-C6,2019-11-12T08:00:00Z,NA,0,0.008,5.574,4.539,11.07,0.225
20,Tunnel,QA-QC,HoldTime-C7,2019-11-12T08:00:00Z,NA,0,0,3.946,3.187,7.773,0.196
20,Tunnel,QA-QC,HoldTime-C8,2019-11-12T08:00:00Z,NA,0,0,3.686,2.987,7.285,0.198
20,Tunnel,QA-QC,HoldTime-C9,2019-11-12T08:00:00Z,NA,0,0,5.761,4.676,11.404,0.264
20,Tunnel,QA-QC,HoldTime-C10,2019-11-12T08:00:00Z,NA,0,0,3.536,2.872,7.005,0.188
20,Cragg-crk,Grab,Grab,2019-12-16T20:00:00Z,43,0,0.046,6.425,5.571,13.589,0.26
20,Cragg-crk,Grab,Grab,2019-12-17T22:00:00Z,NA,0,0.008,6.173,5.362,13.078,0.255
20,Cragg-crk,Rack,L1,NA,43,0,0.14,7.492,6.398,15.606,0.291
20,Cragg-crk,Rack,L2,NA,59,0,0.369,9.676,8.148,19.873,0.362
20,Cragg-crk,Rack,L3,NA,75,0,0.42,10.587,8.791,21.442,0.368
20,Leech-head,Grab,Grab,2019-12-16T21:00:00Z,124,0,0.388,11.668,9.477,23.114,0.406
20,Leech-head,Grab,Grab,2019-12-17T20:00:00Z,NA,0,0.395,11.212,9.119,22.242,0.368
20,Leech-head,Rack,L1,NA,122,0,0.584,12.747,10.458,25.508,0.435
20,Leech-head,Rack,L2,NA,139,0,0.58,12.561,10.306,25.138,0.427
20,Weeks-out,Grab,Grab,2019-12-16T21:20:00Z,79,0,0.504,15.284,12.322,30.053,0.503
20,Weeks-out,Grab,Grab,2019-12-17T18:00:00Z,NA,0,0.468,15.031,12.146,29.624,0.498
20,Weeks-out,Rack,L1,NA,72,0,0.777,18.983,15.242,37.176,0.605
20,Weeks-out,Rack,L2,NA,79,0.002,0.722,18.191,14.524,35.425,0.583
20,Weeks-out,Rack,L3,NA,97,0.045,0.843,17.202,13.818,33.702,0.562
20,Chris-crk,Grab,Grab,2019-12-16T21:35:00Z,27,0,0,4.528,3.888,9.482,0.191
20,Chris-crk,Grab,Grab,2019-12-17T19:45:00Z,26,0,0,4.447,3.781,9.223,0.174
20,Chris-crk,Rack,L1,NA,26,0,0.31,8.761,7.266,17.721,0.316
20,Chris-crk,Rack,L2,NA,36,0,0.187,8.031,6.76,16.489,0.305
20,Jarvis,Grab,Grab,2019-12-17T08:00:00Z,NA,0,0.414,13.73,11.273,27.496,0.487
20,Lazar,Grab,Grab,2019-12-17T08:00:00Z,NA,0,0.134,7.844,6.703,16.348,0.305
20,Rithet,Grab,Grab,2019-12-17T08:00:00Z,NA,0,0,4.306,3.749,9.143,0.191
20,Judge-crk,Grab,Grab,2019-12-17T08:00:00Z,NA,0,0.151,7.826,6.655,16.233,0.307
20,Deception-crk,Grab,Grab,2019-12-13T17:00:00Z,NA,0,0.268,6.991,6.024,14.694,0.273
21,Cragg-crk,Grab,Grab,2019-12-19T20:00:00Z,63,0,0.158,7.91,6.786,16.552,0.321
21,Cragg-crk,Rack,L1,NA,45,0,0.066,6.469,5.517,13.457,0.247
21,Cragg-crk,Rack,L2,NA,63,0,0.205,8.443,7.033,17.153,0.308
22,Lab,QA-QC,RO,NA,NA,0,0,1.13225,1.097,2.6755,0.10625
22,Lab,QA-QC,CalVer-1_5.55ppm,NA,NA,0,1.274,5.433,5.34,13.024,0.109
22,Lab,QA-QC,CalVer-2_5.77ppm,NA,NA,0,1.267,5.576,5.466,13.331,0.099
22,Tunnel,Grab,R1,NA,NA,0,0.134,7.752,6.255,15.255,0.263
22,Tunnel,Grab,R2,NA,NA,0.028,0.145,7.708,6.244,15.229,0.27
22,Cragg-crk,Grab,Grab,NA,NA,0,0.193,7.954,6.687,16.311,0.276
22,Jarvis,Grab,Grab,NA,NA,0,0.257,9.904,8.129,19.826,0.352
22,Rithet,Grab,Grab,NA,NA,0,0.178,7.141,5.996,14.623,0.26
22,Judge-crk,Grab,Grab,NA,NA,0,0.127,7.225,6.105,14.889,0.281
23,Cragg-crk,Grab,Grab,2020-01-09T17:58:00Z,NA,0,0.001,6.171,5.347,13.04,0.244
23,Cragg-crk,Grab,Grab,2020-01-10T20:03:00Z,NA,0,0,5.715,4.978,12.141,0.245
23,Cragg-crk,Grab,Grab,2020-01-30T21:30:00Z,NA,0,0,5.45,4.637,11.309,0.2
23,Cragg-crk,Grab,Grab,2020-02-06T23:30:00Z,NA,0,0,5.239,4.538,11.069,0.224
23,Cragg-crk,Grab,Grab,2020-02-18T20:20:00Z,NA,0,0,4.605,4.062,9.907,0.212
23,Cragg-crk,Grab,Grab,2020-02-19T22:00:00Z,NA,0,0,4.465,3.86,9.414,0.182
23,Cragg-crk,Rack,L1,NA,75,0,0.115,7.424,6.221,15.173,0.273
23,Cragg-crk,Rack,L2,NA,91,0,0.114,7.368,6.208,15.142,0.254
23,Cragg-crk,Rack,L3,NA,124,0,0.046,6.599,5.683,13.862,0.263
23,Cragg-crk,FL_Rack,FL2,NA,83,0,0.104,6.789,5.799,14.143,0.251
23,Cragg-crk,FL_Rack,FL1,NA,106,0,0.1,7.344,6.211,15.149,0.264
23,Chris-crk,Grab,Grab,2020-01-09T19:20:00Z,NA,0,0,4.229,3.736,9.112,0.197
23,Chris-crk,Rack,L6,NA,115,0,0.075,6.132,5.138,12.53,0.213
23,Deception-res,Grab,Grab,2020-02-18T17:00:00Z,NA,0,0.115,6.156,5.196,12.673,0.221
23,Judge-crk,Grab,Grab,2020-02-18T22:00:00Z,NA,0,0.053,6.019,5.061,12.345,0.227
23,Judge-crk,Grab,Grab,2020-02-19T23:00:00Z,NA,0,0.04,5.92,5.042,12.298,0.221
23,Rithet-crk,Grab,Grab,2020-02-20T00:00:00Z,NA,0,0,3.188,2.808,6.85,0.159
23,Rithet-crk,Grab,Grab,2020-02-20T08:00:00Z,NA,0,0,3.347,2.925,7.135,0.169
23,Jordan-trib,Grab,Grab,2020-01-09T22:09:00Z,NA,0,0.191,5.63,4.892,11.931,0.207
NA,Lab,QA-QC,RO,NA,NA,NA,NA,NA,NA,NA,NA
NA,West-Leech,Grab,Grab,2020-01-08T20:45:00Z,NA,0,0,5.598,4.621,11.271,0.226
NA,West-Leech,Grab,Grab,2020-01-30T17:30:00Z,NA,0,0,4.978,4.2,10.245,0.205
NA,West-Leech,Grab,Grab,2020-02-08T08:00:00Z,NA,0,0,5.063,4.207,10.262,0.214
NA,West-Leech,Grab,Grab,2020-02-19T18:00:00Z,NA,0,0,4.352,3.616,8.82,0.175
NA,West-Leech,Rack,L1,NA,37,0,0.068,6.869,5.642,13.76,0.26
NA,West-Leech,Rack,L2,NA,51,0.959,0.114,8.274,6.633,16.177,0.298
NA,West-Leech,Rack,L3,NA,67,0,0.018,5.603,4.615,11.256,0.208
NA,West-Leech,Rack,L4,NA,83,0.703,0,6.116,4.9,11.952,0.247
NA,West-Leech,Rack,L5,NA,101,1.731,0.104,7.811,5.988,14.604,0.263
NA,West-Leech,Rack,L6,NA,119,0.532,0.033,6.646,5.305,12.938,0.235
NA,West-Leech,Rack,L7,NA,136,13.199,0,8.357,5.451,13.296,0.255
NA,Tunnel,Grab,Grab,2020-01-30T20:30:00Z,NA,0,0,5.649,4.615,11.257,0.206
NA,Tunnel,Grab,Grab,2020-02-18T19:00:00Z,NA,0,0,5.044,4.255,10.378,0.216
NA,Tunnel,Grab,Grab,2020-02-19T19:00:00Z,NA,0,0,4.951,4.048,9.873,0.206
NA,Tunnel,Rack,L1,NA,41,0,0.05,6.961,5.577,13.603,0.264
NA,Tunnel,Rack,L2,NA,57,0,0.076,7.239,5.662,13.809,0.269
NA,Tunnel,Rack,L3,NA,70,0,0.075,7.039,5.57,13.584,0.26
NA,Tunnel,Rack,L4,NA,87,2.562,0.1,7.529,5.688,13.874,0.252
NA,Tunnel,Rack,L5,NA,103,6.136,0.076,7.926,5.655,13.793,0.25
NA,Tunnel,Rack,L6,NA,117,0,0.098,7.455,5.858,14.289,0.274
NA,Leech-head,Grab,Grab,2020-02-20T18:00:00Z,NA,0.285,0.17,8.48,6.759,16.484,0.274
NA,Leech-head,Rack,L1,NA,129,0,0.189,8.427,6.769,16.51,0.28
NA,Leech-head,Rack,L2,NA,137,0,0.125,7.696,6.315,15.403,0.264
NA,Leech-head,Rack,L3,NA,155,0,0.101,7.401,6.081,14.832,0.271
NA,Leech-head,Rack,L4,NA,165,67.576,0,14.982,5.685,13.865,0.284
NA,Leech-head,Rack,L6,NA,195,0,0.019,5.681,4.794,11.692,0.235
NA,Weeks-out,Grab,Grab,2020-01-09T19:35:00Z,NA,0,0.331,10.526,8.69,21.194,0.372
NA,Weeks-out,Grab,Grab,2020-02-20T08:00:00Z,NA,1.003,0.354,11.817,9.358,22.825,0.384
NA,Weeks-out,Rack,L1,NA,89,0.662,0.088,6.747,5.389,13.145,0.221
NA,Weeks-out,Rack,L2,NA,98,0,0.051,6.545,5.379,13.119,0.234
NA,Weeks-out,Rack,L3,NA,115,0,0.04,6.339,5.121,12.489,0.224
NA,Weeks-out,Rack,L4,NA,127,0,0.159,7.683,6.379,15.558,0.26
NA,Chris-crk,Grab,Grab,2020-02-20T21:00:00Z,NA,0,0,3.602,3.032,7.395,0.143
NA,Chris-crk,Rack,L1,NA,37,0,0.117,7.079,5.934,14.472,0.264
NA,Chris-crk,Rack,L2,NA,48,0,0.073,6.636,5.579,13.607,0.242
NA,Chris-crk,Rack,L3,NA,66,0,0,3.429,2.807,6.847,0.158
NA,Chris-crk,Rack,L4,NA,81,0,0,5.581,4.649,11.338,0.202
NA,Chris-crk,Rack,L5,NA,97,0,0,5.096,4.204,10.254,0.194
NA,Leech-dwnstrm-confl,Grab,Grab,2020-02-08T19:10:00Z,NA,0,0,5.16,4.262,10.395,0.196
